PMID,Title,Publication Date,Abstract,FullTextLink
39318983,Adverse Events Associated With 3 Vitrectomy Platforms Reported to the US FDA MAUDE Database.,"Sep, 2024","Purpose: To identify and describe adverse events (AEs) observed with real-world use of the following 3 vitrectomy platforms: Constellation (Alcon), Enhancing Visual Acuity (EVA, Dutch Ophthalmic Research Center), and Stellaris (Bausch+ Lomb). Methods: All reports submitted to the US Food and Drug Administration's Manufacturer and User Facility Device Experience (MAUDE) database between January 2010 and November 2021 that were associated with the 3 vitrectomy platforms were analyzed. Each report was reviewed for AEs or",No Full Text Available
39311943,Adverse events related to robotic-assisted knee arthroplasty: a cross-sectional study from the MAUDE database.,"Sep, 2024","BACKGROUND: Robotic-assisted surgical technique has been clinically available for decades, yet real-world adverse events (AEs) and complications associated with primary knee arthroplasty remain unclear. METHODS: In March 2023, we searched the FDA website and extracted AEs related to robotic assisted knee arthroplasty (RAKA) from the MAUDE database over the past 10 years. The ""Brand Name"" function queried major robotic platforms, including active and semi-active systems. The overall incidence of AEs was estimated based on annual surgical volume from the current American Joint Replacement Registry (AJRR). Two authors independently collected data on event date, event type, device problem, and patient problem. RESULTS: Of 839 eligible reports, device malfunction comprised mechanical failure (343/839, 40.88%) and software failure (261/839, 31.11%). For surgical complications, inappropriate bone resection (115/839, 13.71%) was most frequent, followed by bone/soft tissue damage (83/839, 9.89%). Notably, over-resection exceeding 2 mm (88/839, 10.49%), joint infection (25/839, 2.98%), and aseptic loosening (1/839, 0.12%) were major complications. Only two track pins related AEs were found. Moreover, the distribution of these AEs differed substantially between robot manufacturers. According to the AEs volume and AJRR data, the overall incidences of AEs related to RAKAs were calculated with 0.83% (839/100,892) between November 2010 and March 2023. CONCLUSION: Our analysis shows that while reported AEs might be increasing for RAKAs, the overall rate remains relatively low. Reassuringly, device malfunction was the most commonly AEs observed, with a minor impact on postoperative outcomes. Furthermore, our data provide a benchmark for patients, surgeons, and manufacturers to evaluate RAKA performance, though continued improvement in reducing serious AEs incidence is warranted.",No Full Text Available
39284394,How Often Does Technology Fail in Robotic-Assisted Arthroplasty? A Comprehensive Analysis of a United States Food and Drug Administration Database.,"Sep, 2024","BACKGROUND: Robotic-assisted arthroplasty is a growing alternative to conventionally instrumented arthroplasty; however, the incidence of adverse events (AEs) associated with this technology reported to the United States Food and Drug Administration (FDA) remains poorly quantified. The objective of this study was to categorize AEs associated with robotic-assisted arthroplasty and calculate their annual incidence as reported to the FDA. METHODS: The FDA's Manufacturer and User Facility Device Experience database was queried for AEs from January 1, 2017 to December 31, 2021 associated with the most prevalent robotic-arthroplasty system. The AEs were calculated using national surgical numbers provided by the manufacturer and grouped by total hip arthroplasty (THA), total knee arthroplasty (TKA), or partial knee arthroplasty (PKA). RESULTS: There were 1,710 unique AEs across the study period, with 436 THA, 1,005 TKA, and 269 PKA, representing incidence rates of 0.37, 0.30, and 0.40%, respectively. All procedures demonstrated lower rates of AEs in the final year of the study, compared to the first year. Most complications were related to mechanical problems, not software issues. Surgical delays due to AEs occurred in THA (0.13% cumulative incidence, 14.0 minutes average delay), TKA (0.13%, 20.6 minutes), and PKA (0.22%, 19.4 minutes). No cases were canceled due to AEs in THA, though a few TKA (0.003%) and PKA (0.02%) cases were not performed. Patient injuries occurred in 0.05, 0.05, and 0.08% of THA, TKA, and PKA, respectively. Surgical reintervention was necessary in 0.004, 0.003, and 0.01% of THA, TKA, and PKA, respectively. CONCLUSIONS: Robotic-assisted arthroplasty has a small number and relatively low rate of AEs reported to the FDA as measured through the Manufacturer and User Facility Device Experience database, with rates steadily decreasing over the study period. Patient injury, case delay, and reoperation represent only a small fraction of the already rare AEs in the database.",No Full Text Available
39281406,Adverse Events of Femtosecond-Assisted Laser-Assisted In situ Keratomileusis: A Manufacturer and User Facility Device Experience Database Study.,"Sep, 2024","PURPOSE: To analyze the United States Food and Drug Administration's Manufacturer and User Facility Device Experience (MAUDE) database, which contains reports of adverse events involving medical devices, and characterize the most common adverse events of femtosecond (FS) laser-assisted  METHODS: The MAUDE database was queried on May 19, 2022, for adverse events involving the ophthalmic FS laser reported from January 2012 to April 2022. Reports unrelated to LASIK procedures were excluded. Data extraction was performed on these reports, including the type of adverse event and whether surgery was successfully completed. Frequency analysis was performed using the Statistical Package for the Social Sciences. RESULTS: From the 3491 reported adverse events involving the FS laser system, 1136 met the inclusion criteria. Of the 672 cases where outcomes were reported, 476 were successfully completed and 196 were aborted. The most common intraoperative complications were incomplete cut (42.8%), thinner than intended flap (17.6%), and difficulty lifting the flap (12.0%). FS-related complications included opaque bubble layer (2.3%), air bubbles in the anterior chamber (2.4%), and vertical gas breakthrough (4.1%). Other device-related intraoperative complications included suction loss (10.2%), difficulty docking (2.4%), and laser malfunction (2.0%). The most common postoperative complications were diffuse lamellar keratitis (DLK) (7.8%) and rainbow glare (4.6%). CONCLUSION: The most common intraoperative FS-assisted LASIK complication in the MAUDE database was an incomplete flap. The most common postoperative complication was DLK. This study is the first to investigate FS-assisted LASIK adverse events in the MAUDE database. It can raise awareness of real-world surgical complications and help ophthalmologists better counsel and treat patients.",No Full Text Available
39276215,Trends and incidence of reported events associated with ureteral stents: an analysis of the food and drug administration's manufacturer and user facility device experience (MAUDE) database.,"Sep, 2024","PURPOSE: Aim of this study is to summarize medical device reports (MDRs) between 2012 and 2022 relating to ureteral stents within the Manufacturer and User Facility Device Experience (MAUDE) database maintained by The Food and Drug Administration (FDA). METHODS: MAUDE was analyzed for all MDRs relating to each FDA-approved ureteral stent. Event descriptions were reviewed and characterized into specific event types. Outcome measures include specific ureteral stent and reported events as detailed by the MDRs. Data is presented as number of specific event/total events. Pooled Relative risk was used to compare data. RESULTS: 2652 reports were retrieved in 10 years and a progressive rise in reported events was recorded. 831/2652 (31%) were reported as injury while 1810/2652 (68%) as malfunction of the ureteral stent and 4 events of death. The most frequently reported adverse events (AEs) were stent break (627/2652: 23%); material problems (384/2652: 14%); calcification (222/2652: 8%); difficulty to insert, advance or remove the device (155/2652: 6%). Bard stents were associated with most material problems (19%), Resonance stents were associated with most difficulty to insert, advance or remove the device (9%) and calcification (15%) while filiform double pigtail stent set were associated with most breakage reports (56%) when compared to the other stents (PRR > 1, p < 0,05). CONCLUSIONS: According to MAUDE database the most frequent complications related to ureteral stents are breakage, material problems, calcification and difficulty to insert/advance/remove the device. As well Resonance ureteral stents seem to be associated with a higher risk of device problems.",No Full Text Available
39216717,Failure to treat ventricular tachycardia or ventricular fibrillation by implantable cardioverter-defibrillators.,"Sep, 2024","BACKGROUND: Normally functioning implantable cardioverter-defibrillators (ICDs) with intact lead systems occasionally fail to deliver therapy for ventricular tachycardia/fibrillation (VT/VF) or deliver it only after clinically significant delays (failure-to-treat). OBJECTIVE: We aimed to investigate ICD failure-to-treat VT/VF in a large patient cohort. METHODS: We searched the US Food and Drug Administration's online Manufacturer and User Facility Device Experience (MAUDE) database from 2019 to 2023 for manufacturer-verified reports in which normally functioning ICDs failed to treat VT/VF. RESULTS: We identified 854 reports classified as deaths (n = 96 [11.2%]), injuries (n = 585 [68.5%]), or malfunctions (n = 173 [20.3%]) for normally functioning ICDs. The most common causes were misclassification as supraventricular tachycardia (SVT) or atrial fibrillation (AF; 54.8%), undersensing (21.1%), and failure to satisfy programmed rate/duration criteria (8.7%). Most events caused by misclassification as SVT/AF (89.5%) and failure to satisfy rate/duration criteria (70.3%) were VT; most caused by undersensing were either VF (54.4%) or not specified as VT or VF (19.4%). Undersensing caused 65.6% of deaths, although it represented only 21.1% of reports. In the United States, the number of reports increased faster than that of ICD patients. CONCLUSION: In the largest reported series of failure-to-treat VT/VF by normally functioning ICDs, the most common cause was misclassification of VT as SVT/AF; the most common cause of death was undersensing of VF. Although relatively few patients with normally functioning ICDs experience failure-to-treat VT/VF, the absolute number of verified MAUDE reports suggests that more work is needed to quantify the magnitude of the problem, to identify root causes, and to develop solutions.",No Full Text Available
39208707,Analysis of antibiotic resistant infections associated with hirudotherapy.,"Aug, 2024","OBJECTIVE: Given rising concern regarding antibiotic resistance, our objective was to evaluate antibiotic-resistant infections following leech therapy and to characterize the use of prophylactic antibiotics. METHODS: All reports of adverse events involving hirudotherapy (product code ""NRN"") were retrieved from the U.S. Food and Drug Administration MAUDE database between 2012 and 2021. Antibiotic resistance was defined by bacterial culture or infection after antibiotic administration. RESULTS: Nineteen cases of antibiotic resistance involving hirudotherapy were identified. Only three cases of antibiotic resistance were discovered on routine testing and the remaining 16 cases were associated with patient injury. Positive blood cultures or fever were present in 26.3 % (n = 5) of cases. Cultures of the infection grew Aeromonas hydrophilia (n = 13; 68.4 %), Vibrio vulnificus (n = 3; 15.8 %), Pseudomonas aeruginosa (n = 2; 10.5 %), and Proteus vulgaris (n = 1; 5.3 %). There were nine (47.4 %) multi-drug resistant infections. Infection was most commonly resistant to fluoroquinolones (n = 9; 47.4 %), trimethoprim-sulfamethoxazole (n = 9; 47.4 %) and ertapenem (n = 4; 21.1 %). CONCLUSION: Antibiotic-resistant infections involving hirudotherapy are frequently resistant to multiple drugs, including fluoroquinolones and trimethoprim-sulfamethoxazole. Resistance to ertapenem, a drug of last resort, was also documented. The findings presented in this study support growing literature that the trend in multi-drug resistance is more severe than previously reported.",No Full Text Available
39176609,Developing a Generative AI-Powered Chatbot for Analyzing MAUDE Database.,"Aug, 2024","This paper presents a chatbot that simplifies accessing and understanding the open-access records of adverse events related to medical devices in the MAUDE database. The chatbot is powered by generative AI technology, enabling count and search queries. The chatbot uses the openFDA API and GPT-4 model to interpret users' natural language queries, generate appropriate API calls, and summarize adverse event reports. The chatbot also provides a downloadable link to the original reports. The model's performance in generating accurate API calls was assessed and improved by training it with few-shot examples of query-URL pairs. Additionally, the quality of content-based summaries was evaluated by human expert ratings. This initiative is a significant step towards making patient safety data accessible, replicable, and easily manageable by a broader range of researchers.",No Full Text Available
39176599,A Data Pipeline for Enhancing Quality of MAUDE-Based Studies.,"Aug, 2024","The increasing use of MAUDE reports in patient safety research highlights the importance of understanding the processing and dissemination of open-access MAUDE data. However, the absence of a structured data pipeline undermines the reproducibility and transparency of studies relying on MAUDE data. In response, we conducted a comprehensive analysis of a recent study on endoscopic clips, assessing methodologies and results. We advocate for implementing an extract, transform, and load (ETL) pipeline, utilizing openFDA and integrating keyword search strategies and data visualization techniques. This approach aims to enhance the quality of MAUDE-based studies, ensuring their reproducibility and transparency. Moreover, ETL serves as a cornerstone in data engineering, enabling real-time data management and quality assurance, thus promoting the sustainability and collaboration of MAUDE-based patient safety research.",No Full Text Available
39155262,[Monitoring System of Medical Device Adverse Events in the US and Application of MAUDE Database in Medical Device Registration].,"Aug, 2024","In order to achieve precise risk control of medical devices, it is necessary to establish a scientific evaluation system throughout the entire life cycle of medical devices that focuses on risk identification and risk control. This study summarizes the medical device adverse event monitoring system of the US on regulatory agencies and regulatory law, adverse events reporting forms and time limits, adverse event database, adverse event report analysis and evaluation, as well as adverse event feedback and control. Furthermore, some examples are provided to illustrate the application of the MAUDE database in risk analysis, physical and mechanical performance research, and clinical evaluation of medical device registration and application materials.",No Full Text Available
39122507,Keep an Eye on At-Home Devices: Energy-Based Acne and Anti-Aging Devices are Associated with Ocular Adverse Events in a Retrospective Analysis Using the MAUDE Database.,"Aug, 2024","Methods We analyzed medical device reports (MDRs) detailing at-home acne and anti-aging devices submitted to the FDA Manufacturer and User Facility Device Experience (MAUDE) Database, which collects AE reports submitted to the FDA related to medical devices, 2013–2023.",No Full Text Available
39106679,MAUDE database and Eustachian tube balloon dilation: Evaluation of adverse events and sales data.,"Aug, 2024","STUDY DESIGN: Review of database. SETTING: Tertiary care neurotology center. PATIENTS: Patients undergoing adverse events. INTERVENTION: MAUDE database evaluation of Eustachian tube balloon dilation (ETBD) for the treatment of Eustachian tube dysfunction. MAIN OUTCOME MEASURES: Medical device reports (MDRs) from the MAUDE database were analyzed for adverse patient events (AE) and device malfunctions (DM) among different devices for ETBD. The objective of this analysis is to assess AE rates and compare them across different devices. Sales data was also used to calculate AE rates. RESULTS: There were 18 MDRs noted in the MAUDE database for patients undergoing ETBD out of an initial 23 results. When separated into devices, the Aera had 9 total MDRs (50 %), Xpress had 8 (44.4 %) and Audion had 1 (5.6 %). There were 10 AE and 8 DM. When separated by device, Aera had 4 AEs and 5 DMs, Xpress had 5 AEs and 3 DMs, and Audion had 1 AE. The most common AE was subcutaneous emphysema (n = 4), in the head and neck region with one report of mediastinal involvement. Using this sales data, the Aera balloon has an MDR rate of 0.0128 % is established, with a rate of AE at 0.0058 %. The Audion balloon had an MDR and AE rate of 0.0164 %. CONCLUSIONS: ETBD is a safe procedure with minimal complications, with subcutaneous emphysema being the most commonly reported adverse event, consistent with literature findings. A comprehensive analysis of AE, coupled with sales data, indicates a commendably low MDR rate of 0.0128 % for the Aera balloon while the Audion balloon had an MDR rate of 0.0164 %. These findings offer valuable insights on post-procedure expectations and engaging in informed consent discussions with patients, highlighting the overall safety of ETBD as an intervention.",No Full Text Available
39099264,Adverse events associated with robotic-assistance in total hip arthroplasty: an analysis based on the FDA MAUDE database.,"Aug, 2024","BACKGROUND: The Food and Drug Administration (FDA) maintains the Manufacturer and User Facility Device Experience (MAUDE) database for reporting adverse events associated with medical devices, including emerging technologies, such as robotic-assisted total hip arthroplasty (THA). Aim of this study was to evaluate the variation of adverse events associated with robotics in THA. METHODS: Medical device reports (MDRs) within the MAUDE database were identified between 2017 and 2021. For MDR identification the product class ""orthopaedic stereotaxic equipment"" and terms associated with THA were used. Individual adverse events were identified and organised by type and consequences, such as patient injury, surgical delay, or conversion to the manual technique. RESULTS: 521 MDRs constituting 546 discrete events were found. The most common reported complication was intraoperative hardware failure (304/546, 55.7%), among which the most common failure was a broken impaction handle/platform (110, 20.1%). Inaccurate cup placement was the second most common reported complication (63, 11.5%). Abandoning the robot occurred in 13.0% (71/521) of reports. A surgical delay was noted in 28% (146/521) of reports, with an average delay of 17.9 (range 1-60) minutes. CONCLUSIONS: Identifying complications that may occur with robotics in THA is an important first step in preventing adverse events and surgical delays. Database analysis provide an overview of the range of complications.",No Full Text Available
39067092,Adverse events related to suction electrocautery devices in adenotonsillectomy: Analysis of the MAUDE database.,"Jul, 2024","OBJECTIVE: To identify adverse events (AEs) related to suction electrocautery use during adenotonsillectomy. METHODS: The US Food and Drug Administration (FDA) Manufacturer and User Facility Device Experience (MAUDE) database was searched using the terms ""suction cautery,"" ""suction electrocautery,"" ""suction Bovie,"" and ""suction coagulator"" from January 2014 to December 2023. RESULTS: 165 AE reports were gathered from the MAUDE database medical device reports (MDRs). 36 met inclusion criteria. Patient injuries were found in 22 (61.1 %) reports and device malfunction events were found in 14 (38.9 %) reports. All patient injuries were thermal burns (N = 22, 100 %). Location of burn injuries included the lip (N = 6, 27.3 %), oral commissure (N = 5, 22.7 %), and tongue (N = 4, 18.2 %). The most common cause of an AE was inadequate device insulation (N = 7, 19.4 %). CONCLUSION: The suction electrocautery apparatus may malfunction and cause patient burn injuries. Device failures mainly result from inadequate device insulation, coagulation problems, and detachment of device components. Surgeons must be aware of these potential complications and counsel parents and patients regarding AEs.",No Full Text Available
39049270,Enhancing MAUDE Database Utility by GPT-4 and Cause-Effect Visualization.,"Jul, 2024","The MAUDE database is a valuable public resource for understanding malfunctions and adverse events related to medical devices and health IT. However, its extensive data and complex structure pose challenges. To overcome this, we have developed an automated analytical pipeline using GPT-4, a cutting-edge large language model. This pipeline is intended to efficiently extract, categorize, and visualize safety events with minimal human annotation. In our analysis of 4,459 colonoscopy reports from MAUDE (2011-2021), the events were categorized into operational, human factor, and device-related. Ishikawa diagrams visualized a subset stored in a vector database for easy retrieval and comparison through a similarity search. This innovative approach streamlines access to vital safety insights, reducing the workload on human annotators, and holds promise to enhance the utility of the MAUDE database.",No Full Text Available
38988303,Complications Associated with AMBU™ Scope Use: An FDA MAUDE Analysis.,"Jul, 2024","Ambu® aScope™ is a disposable flexible videoscope used for a wide range of medical procedures. However, adverse events associated with this device can occur. The Food and Drug Administration (FDA) Manufacturer and User Facility Device Experience (MAUDE) database was explored for patient-related adverse events associated with Ambu® aScope™ use between January 1, 2000 and December 15, 2023. Search terms included ""Ambu"" and ""Ascope."" Thirty unique adverse events were identified. Twenty-one of the events were associated with patient injury, and 9 with device malfunction. Eight patient-reported problems were documented as foreign bodies, 3 events as airway obstruction, desaturation, or hypoxic events, and 1 event as anxiety/cardiac arrest. The remaining 18 reported insufficient information other than associated with patient injury. We found that Ambu® aScope™ flexible nasolaryngoscopes and bronchoscopes are a common and effective tool for airway evaluations that may infrequently serve as a rare form of foreign body with potentially life-threatening consequences.",No Full Text Available
