PMID,Title,Publication Date
38635526,Major Clinical Adverse Events of Breast Implant in the Manufacturer and User Facility Device Experience Database.,"Apr, 2024"
38602895,"Infections Associated with Medtronic Duet External Ventricular Drains - Rhode Island Hospital, Providence, Rhode Island, January 2023-January 2024.","Apr, 2024"
38587020,Otolaryngologists and the MAUDE Database: Hammers Looking for a Nail.,"Apr, 2024"
38580887,Adverse Events and Device Failures Associated with Pancreatic Stents: A Comprehensive Analysis Using the FDA's MAUDE Database.,"Apr, 2024"
38574515,Adverse events associated with Vibrant Soundbridge: A MAUDE study.,"Apr, 2024"
38552339,Adverse events associated with anastomotic coupling devices in microvascular reconstruction.,"Mar, 2024"
38548124,Catheter-related and clinical complications associated with contact force-sensing irrigated ablation catheter.,"Mar, 2024"
38520298,Are adverse events during surgery for benign prostatic hyperplasia device related? A review of the MAUDE database.,"Mar, 2024"
38513755,Adverse Events Associated with Mechanical Thrombectomy Devices in Peripheral Interventions: Review of the Manufacturer and User Facility Device Experience (MAUDE) Database.,"Mar, 2024"
38479218,Adverse events associated with device assisted hyoid and tongue base suspension for obstructive sleep apnea.,"Mar, 2024"
38470959,Assessing the Reproducibility of Research Based on the Food and Drug Administration Manufacturer and User Facility Device Experience Data.,"Mar, 2024"
38468214,The Hairy Truth of At-Home Hair Removal: Retrospective Analysis of Over-the-Counter Light-Based Hair Removal and Hair Growth Devices in the MAUDE Database.,"Mar, 2024"
38467899,Patient Complications and Device Issues Associated With FDA-Approved Intragastric Balloons Available in the USA: A Maude Database Study.,"Mar, 2024"
38467236,"Medical device report analyses from MAUDE: Device and patient outcomes, adverse events, and sex-based differential effects.","Mar, 2024"
38458325,Major Complications and Adverse Events Related to Use of SpaceOAR Hydrogel for Prostate Cancer Radiotherapy.,"Mar, 2024"
38417263,Soft tissue injury events associated with neural integrity monitoring endotracheal tubes: A MAUDE database analysis.,"Feb, 2024"
38327259,Considerations for Use of the MAUDE Database in Otolaryngology-Head & Neck Surgery Research.,"Feb, 2024"
38316225,Adverse events of the single-operator cholangioscopy system: a Manufacturer and User Facility Device Experience database analysis.,"Feb, 2024"
38313458,Adverse events associated with the gold probe and the injection gold probe devices used for endoscopic hemostasis: A MAUDE database analysis.,"Feb, 2024"
38312201,Leadless pacemaker tine damage and fracture: novel complications of a novel device fixation mechanism.,"Feb, 2024"
38269880,Automating the Identification of Safety Events Involving Machine Learning-Enabled Medical Devices.,"Jan, 2024"
38250172,Editorial: Female urogenital devices used during their lifetime-managing menstruation including pelvic health.,"Jan, 2024"
38224297,Modes of failure of guide catheter extensions: Insights from the MAUDE database.,"Jan, 2024"
38224197,Development of an Improved LASER-Resistant Endotracheal Tube.,"Jan, 2024"
38179023,Adverse events related to accessory devices used during ureteroscopy: Findings from a 10-year analysis of the Manufacturer and User Facility Device Experience (MAUDE) database.,"Jan, 2024"
38063212,Comparing adverse events associated with LigaSure and Harmonic devices in head and neck surgery.,"Dec, 2023"
38130257,Complications of eustachian tube balloon dilation: Manufacturer and User Facility Device Experience (MAUDE) database analysis and literature review.,"Dec, 2023"
38110358,Real-World Experience With the Angio-Seal Closure Device: Insights From Manufacturer and User Facility Device Experience Database.,"Dec, 2023"
38108883,The burning truth about light therapy: a retrospective analysis of the MAUDE database on UV phototherapy and photodynamic therapy complications 2013-2023.,"Dec, 2023"
38138158,LARIAT or AtriClip: Complications Profile and Comparison in Patients with Atrial Fibrillations Based on Manufacturer and User Facility Device Experience Database.,"Dec, 2023"
37983110,Adverse events with intravascular lithotripsy after coronary use: A report from the FDA MAUDE database.,"Nov, 2023"
37973071,Polyether Ether Ketone (PEEK) Implants and the Manufacturer and User Facility Device Experience (MAUDE) Database: An Updated Review of Adverse Events and Complications.,"Nov, 2023"
37969167,Device malfunctions with use of EUS-guided fine-needle biopsy devices: Analysis of the MAUDE database.,"Nov, 2023"
37956776,Failure to defibrillate or cardiovert due to premature truncation of biphasic shocks from implantable defibrillators.,"Nov, 2023"
37954315,Evidence-based clinical engineering: Health information technology adverse events identification and classification with natural language processing.,"Nov, 2023"
37944306,Characterizing complications associated with skull clamps: A review of the manufacturer and user facility device experience database.,"Nov, 2023"
37890052,Pediatric Airway Balloon Dilation: Urge for Safety Redesign.,"Oct, 2023"
37868127,Complications Associated with Microdebriders in Otolaryngology Procedures from 2011 to 2021: A MAUDE Study.,"Oct, 2023"
37862881,Nasal Epistaxis Balloons: A Comprehensive MAUDE Database Analysis.,"Oct, 2023"
37799789,Adverse events in cryoballoon ablation for pulmonary vein isolation: Insight from the Food and Drug Administration Manufacturer and User Facility Device Experience.,"Oct, 2023"
37774851,Real-World Complications of the SpaceOAR Hydrogel Spacer: A Review of the Manufacturer and User Facility Device Experience Database.,"Sep, 2023"
37750495,Insights From the FDA's MAUDE Database Regarding the Real-World Safety of Jetstream Atherectomy for Peripheral Arterial Disease.,"Sep, 2023"
37746939,Complications of Novel Radiofrequency Device Use in Rhinology: A MAUDE Analysis.,"Sep, 2023"
37732709,Respiratory Sensing Lead Malfunction in Upper Airway Stimulation: A Single Institution Report.,"Sep, 2023"
37729644,Adverse Event Reporting of Commonly Used Gender-Specific Implantable Medical Devices in the United States.,"Sep, 2023"
37727161,Investigating the Complications and Causes of Failure of the AngioVac System: A Post-Marketing Surveillance From the MAUDE Database.,"Sep, 2023"
37679961,Adverse events associated with amplatzer left atrial appendage occlusion delivery system: A Food and Drug Administration MAUDE database study.,"Sep, 2023"
37668414,Analysis of Reported Adverse Events Related to Hemospray an FDA MAUDE Database Study.,"Sep, 2023"
37664247,The Prevalence of Cardiovascular Complications and Causes of AngioJet Failure: A Post-Marketing Surveillance Study Based on the MAUDE (Manufacturer and User Facility Device Experience) Database.,"Sep, 2023"
37635415,Eustachian Tube Balloon Dilation: A Comprehensive Analysis of Adverse Events.,"Aug, 2023"
37622490,Adverse Events Associated With Tracheostomy: A MAUDE Database Analysis.,"Aug, 2023"
37616552,Epidemiology of Breast Implant-Associated Anaplastic Large Cell Lymphoma in the United States: A Systematic Review.,"Aug, 2023"
37594003,"""Weekend Facelifts"" Gone Wrong: Retrospective Analysis of the MAUDE Database on Thread-Lifting Complications From 2003-2023.","Aug, 2023"
37565059,Adverse Events and Subsequent Management Associated With Eustachian Tube Balloon Dilation.,"Aug, 2023"
37558289,Post-Shock Asystole in Patients Dying Out of Hospital While Wearing a Cardioverter Defibrillator.,"Aug, 2023"
37553285,Carotid artery dissections from transcarotid artery revascularization as reported by the Food and Drug Administration.,"Aug, 2023"
37544803,Editorial: Adverse events from intra-aortic balloon counterpulsation therapy: Insights from the MAUDE database.,"Aug, 2023"
37519343,Safety reporting of Essure medical device: a qualitative and quantitative assessment on the FDA manufacturer and user facility device experience database in 2018.,"Jul, 2023"
37504239,Adverse Events Related to Direct-To-Consumer Sequential Aligners-A Study of the MAUDE Database.,"Jul, 2023"
37497812,Understanding a decade of safety reporting for sacral neuromodulation in the Food and Drug Administration Manufacturer and User Facility Device Experience database.,"Jul, 2023"
37485105,Coronary Intra-orbital Atherectomy Complications and Procedural Failure: Insight From the Manufacturer and User Facility Device Experience (MAUDE) Database.,"Jul, 2023"
37478536,Airway fires in otolaryngologic surgery: A database review.,"Jul, 2023"
37387528,Fat removal and risk accrual: A retrospective analysis of the MAUDE database on liposuction complications from 2013 to 2023.,"Jun, 2023"
37348092,Radiofrequency Ablation for Treatment of Leiomyomas: Review of the Manufacturer and User Facility Device Experience (MAUDE) Database.,"Jun, 2023"
37343508,Otologic use of porcine small intestinal submucosal graft (biodesign): A MAUDE database review.,"Jun, 2023"
37341672,Adverse Events and Complications Associated With Vagal Nerve Stimulation: An Analysis of the Manufacturer And User Facility Device Experience Database.,"Jun, 2023"
37306231,"Surgical Fires Involving Alcohol-Based Preparation Solution, 1991-2020.","Jun, 2023"
37302952,Characteristic adverse events with intra-aortic balloon pumps: An analysis of the U.S. Food and Drug Administration MAUDE database from 2016 to 2021.,"Jun, 2023"
37295507,"Microwave energy devices for hyperhidrosis are associated with infections, neurologic symptoms, and burns in a retrospective analysis of the Manufacturer and User Facility Device Experience database 2013-2022.","Jun, 2023"
37292024,Complications and device failures associated with urolift: Findings from the MAUDE database.,"Jun, 2023"
37278214,Complications of cochlear implants: a MAUDE database study.,"Jun, 2023"
37267458,Analysis of Reported Adverse Events Related to Hemospray: An FDA MAUDE Database Study.,"Jun, 2023"
37264590,Adverse Event Causes From 2022 for Four Continuous Glucose Monitors.,"Jun, 2023"
37254239,The Use and Utility of Food and Drug Administration Adverse Event Data from the Manufacturer and User Facility Device Experience Database in Otology: A Systematic Review.,"May, 2023"
37225596,EDITORIAL COMMENT Re: Device Failure and Adverse Events Related to Single-use and Reusable Flexible Ureteroscopes: Findings and New Insights From an 11-Year Analysis of the Manufacturer and User Facility Device Experience Database. Urology. 2023 Jul;177:41-47.,"May, 2023"
37222779,Complications associated with minimally invasive surgical therapies (MIST) for surgical management of benign prostatic hyperplasia: a Manufacturer and User Facility Device Experience (MAUDE) database review.,"May, 2023"
37209414,Adverse events associated with AveirTM VR leadless pacemaker: A Food and Drug Administration MAUDE database study.,"May, 2023"
37178539,Comparing nationally reported adverse events associated with coblation vs. PlasmaBlade for tonsillectomy.,"May, 2023"
37084162,Patient adverse events and technical failures with the bravo capsule pH system: insights from the MAUDE database.,"Apr, 2023"
37071804,More than algorithms: an analysis of safety events involving ML-enabled medical devices reported to the FDA.,"Apr, 2023"
37044309,Device Failure and Adverse Events Related to Single-use and Reusable Flexible Ureteroscopes: Findings and New Insights From an 11-Year Analysis of the Manufacturer and User Facility Device Experience Database.,"Apr, 2023"
37023704,"Typology, Severity, and Outcomes of Adverse Events Related to Angiographic Equipment-A Ten-Year Analysis of the FDA MAUDE Database.","Apr, 2023"
37006740,Complications associated with energy-based devices during thyroidectomy from 2010-2020.,"Apr, 2023"
36976929,Analysis of Reported Adverse Events With Colonic Stents: An FDA MAUDE Database Study.,"Mar, 2023"
36972147,Are all Cages Created Equal? Analysis of Cervical Cage Malfunctions Using FDA MAUDE Database.,"Mar, 2023"
36939542,Adverse Events Associated With Bioabsorbable Nasal Implants: A MAUDE Database Analysis.,"Mar, 2023"
36914509,Invited commentary: Mortality associated with the use of stapler devices and clip appliers: Analysis of the Food and Drug Administration Manufacturer and User Facility Device Experience database.,"Mar, 2023"
36883997,Assessment of adverse events for a home-use intense pulsed light hair removal device using postmarketing surveillance.,"Mar, 2023"
36871655,Metal-Free Cortico-Pedicular Device for Supplemental Fixation in Lumbar Interbody Fusion.,"Mar, 2023"
36854913,Intrapulmonary Feeding Tube Placements While Using an Electromagnetic Placement Device: A Review (2019-2021).,"Mar, 2023"
36849311,Complications and Failure of the Terumo Radial to Peripheral (R2P) Slender Destination Sheath: Insight from the MAUDE Database.,"Feb, 2023"
36810809,Analysis of Reported Adverse Events Associated with Over-the-Scope Endoscopic Suturing System: an FDA MAUDE Database Study.,"Feb, 2023"
36789489,Analysis of reported adverse events of pipeline stents for intracranial aneurysms using the FDA MAUDE database.,"Feb, 2023"
36788718,Facial Dermal Filler Injection and Vaccination: A 12-Year Review of Adverse Event Reporting and Literature Review.,"Feb, 2023"
36728443,Adverse Events of Endoscopic Clip Placement: A MAUDE Database Analysis.,"Feb, 2023"
36727830,An Analysis of a Decade of Lumbar Interbody Cage Failures in the United States: A MAUDE Database Study.,"Feb, 2023"
36724310,Insulin Pump-Associated Adverse Events: A Qualitative Descriptive Study of Clinical Consequences and Potential Root Causes.,"Feb, 2023"
36669984,MitraClip Arm Lock Failure: A Review of Device Reports to the FDA MAUDE Database.,"Jan, 2023"
36528205,Major Complications and Failure Modes of the Angiosculpt Scoring Balloon Catheter: Analysis of the MAUDE Database.,"Dec, 2022"
36564288,Mortality related to the use of stapler devices and clip appliers: Analysis of the Food and Drug Administration Manufacturer and User Facility Device Experience database.,"Dec, 2022"
36526567,Post-Approval Safety Profile of Amulet vs Watchman FLX Left Atrial Appendage Closure Devices: Analysis from the MAUDE Database (ALERT-MAUDE Study).,"Dec, 2022"
36495577,Post-cystoscopy infections and device malfunctions in reprocessed flexible cystoscopes in a national database.,"Dec, 2022"
36461676,Analysis of Polyethylene-Related Revisions After Total Ankle Replacements Reported in US Food and Drug Administration Medical Device Adverse Event Database.,"Dec, 2022"
36416861,Laryngology Outcomes Following Implantable Vagus Nerve Stimulation.,"Nov, 2022"
36372572,Surgical Fire in the United States: 2000-2020.,"Nov, 2022"
36226833,Safe design of surgical robots - a systematic approach to comprehensive hazard identification.,"Oct, 2022"
36220381,Patient-related adverse events and device failures associated with commercially available enteral or duodenal self-expanding metal stents: an analysis of the MAUDE database.,"Oct, 2022"
36209962,Association Between Device Type and Type IIIb Endoleaks Following Thoracic Endovascular Aortic Repair.,"Oct, 2022"
36198829,"Automated insulin delivery: benefits, challenges, and recommendations. A Consensus Report of the Joint Diabetes Technology Working Group of the European Association for the Study of Diabetes and the American Diabetes Association.","Oct, 2022"
36054047,Adverse Events of Non-Invasive Body Contouring: Analysis of the Food and Drug Administration Manufacturer and User Facility Device Experience Database.,"Sep, 2022"
36103654,The Patient Narrative for Breast Implant Illness: A 10-Year Review of the U.S. Food and Drug Administration's MAUDE Database.,"Sep, 2022"
36074993,Reported Events Associated With Spine Robots: An Analysis of the Food and Drug Administration's Manufacturer and User Facility Device Experience Database.,"Sep, 2022"
36071989,Exploring Adverse Events and Utilization of Topical Hemostatic Agents in Surgery.,"Sep, 2022"
36055459,A Comparison of Patient and Device Issues Reported for Recalled Venous Stent Systems.,"Sep, 2022"
36128133,Deep brain stimulation for refractory obsessive-compulsive disorder: A review and analysis of the FDA MAUDE database.,"Sep, 2022"
35993683,Breast Implant-Related Adverse Events During Mammography: An Assessment of the Food and Drug Administration Manufacturer and User Facility Device Experience Database.,"Aug, 2022"
35991750,Complications associated with PEAK PlasmaBlade from 2010 to 2020 from MAUDE.,"Aug, 2022"
35935150,Percutaneous Ventricular Assist Device Fracture in the Right Ventricle and its Retrieval.,"Aug, 2022"
35931414,Adverse events associated with the bridge occlusion balloon for lead extraction: A MAUDE database study.,"Aug, 2022"
35916105,"FDA MAUDE database reported adverse events on noninvasive body contouring, cellulite treatment, and muscle stimulation from 2015 to 2021.","Aug, 2022"
35850967,Excimer Laser-Induced Adverse Coronary Events: Discerning the Merits and Shortcomings of the MAUDE Database Report.,"Jul, 2022"
35833501,Image-Guided Surgical Device Failures in Functional Endoscopic Sinus Surgery: A MAUDE Analysis.,"Jul, 2022"
35809006,Topical Wound Therapy Products With Ionic Silver: A Technologic Analysis.,"Jul, 2022"
35803778,Postapproval Safety Profiles of Different Implantable Cardiac Monitor Devices (from a Food and Drug Administration MAUDE Database Study).,"Jul, 2022"
35798594,Adverse Events Associated With the C304 His Sheath Used for Conduction System Pacing: A MAUDE Database Analysis.,"Jul, 2022"
35784622,Clinical adverse events and device failures for the Barrx™ radiofrequency ablation catheter system: a MAUDE database analysis.,"Jul, 2022"
35781070,Adverse Events Associated with New Nitinol Venous-Labeled Stents: A Review of the FDA MAUDE Database.,"Jul, 2022"
35778250,Complications With Noninvasive Fat and Cellulite Reduction Devices: A Cross-sectional Analysis of the US Food and Drug Administration Manufacturer and User Facility Device Experience Database.,"Jul, 2022"
35771964,Development of an Inventory of Dental Harms: Methods and Rationale.,"Jul, 2022"
35698284,Complications of Endobronchial Valve Placement for Bronchoscopic Lung Volume Reduction: Insights From the Food and Drug Administration Manufacturer and User Facility Device Experience (MAUDE).,"Jun, 2022"
35727630,Adverse Events Associated With Image-Guided Sinus Navigation in Endoscopic Sinus Surgery: A MAUDE Database Analysis.,"Jun, 2022"
35718067,Comparison of technical failures and patient-related adverse events associated with 3 widely used mechanical lithotripters for ERCP: insights from the U.S. Food and Drug Administration Manufacturer and User Facility Device Experience database.,"Jun, 2022"
35734685,"Turnpike Catheter failure, causes and mechanisms: Insights from the MAUDE database.","Jun, 2022"
35653558,Characterizing Ocular Adverse Events After Facial Dermal Filler Injection-Reviewing the MAUDE Database.,"Jun, 2022"
35579193,Adverse events of subcutaneous loop recorders: Insights from the MAUDE database.,"May, 2022"
35536679,Complications Reported to the Food and Drug Administration: A Cross-sectional Comparison of Urogynecologic Meshes.,"May, 2022"
35523236,Intra-Abdominal Pressure Measurement Devices: A Technologic Analysis.,"May, 2022"
35490711,Adverse events associated with the AtriClip device for left atrial appendage occlusion: A Food and Drug Administration MAUDE database study.,"May, 2022"
35470284,Clinical Adverse Events and Device Failures Reported for the Captivator and Duette Endoscopic Mucosal Resection (EMR) Systems: A MAUDE Database Analysis.,"Apr, 2022"
35421039,Manufacturer and User Facility Device Experience Reporting of Events Related to Transvaginal Mesh: Understanding the Data.,"Apr, 2022"
35379535,Device-related complications during renal cryoablation: insights from the Manufacturer and User Facility Device Experience (MAUDE) database.,"Apr, 2022"
35352830,Cancer Risk Associated with Continuous Positive Airway Pressure: A National Study.,"Mar, 2022"
35314290,Adverse Events Associated With Robotic-Assisted Joint Arthroplasty: An Analysis of the US Food and Drug Administration MAUDE Database.,"Mar, 2022"
35281706,Stapler Malfunctions in Bariatric Surgery: An Analysis of the MAUDE Database.,"Mar, 2022"
35255062,Abdominal Negative Pressure Wound Therapy Devices for Management of the Open Abdomen: A Technologic Analysis.,"Mar, 2022"
35239289,Analysis of Complications in Sacroiliac Joint Fusions Using FDA 510(k) Cleared Devices.,"Mar, 2022"
35202776,Retrospective analysis of the MAUDE database on dermal filler complications from 2014-2020.,"Feb, 2022"
35210113,Breaking it down: Review and management of sialendoscopy device malfunctions.,"Feb, 2022"
35183542,Analysis of reported adverse events related to single-use duodenoscopes and duodenoscopes with detachable endcaps.,"Feb, 2022"
35140755,FDA MAUDE database analysis of titanium middle ear prosthesis.,"Feb, 2022"
35132023,Adverse Events Associated With 10-kHz Dorsal Column Spinal Cord Stimulation: A 5-Year Analysis of the Manufacturer and User Facility Device Experience (MAUDE) Database.,"Feb, 2022"
35125145,Characterizing Complications of Intracranial Responsive Neurostimulation Devices for Epilepsy Through a Retrospective Analysis of the Federal MAUDE Database.,"Feb, 2022"
35083979,Adverse events associated with AXIOS stents: Insights from the manufacturer and user facility device experience database.,"Jan, 2022"
35059533,Devices for esophageal function testing.,"Jan, 2022"
35017113,"Post-FDA approval ""real-world"" safety profile of different steerable sheaths during catheter ablation: A Food and Drug Administration MAUDE database study.","Jan, 2022"
34953250,Complications associated with Dermabond® during head and neck surgery: MAUDE and literature review.,"Dec, 2021"
34953099,Leadless pacemaker perforations: Clinical consequences and related device and user problems.,"Dec, 2021"
34935756,Postmarket Safety Surveillance of Delayed Complications for Recent FDA-Approved Hyaluronic Acid Dermal Fillers.,"Dec, 2021"
34919294,Assessing adverse event reports of hysteroscopic sterilization device removal using natural language processing.,"Dec, 2021"
34917966,A Retained Intracardiac Catheter Contributing to Worsening Heart Failure and Atrial Fibrillation: Investigation and Management.,"Dec, 2021"
34907923,Analysis of Reported Adverse Events With Colonic Stents: An FDA MAUDE Database Study.,"Dec, 2021"
34906438,Complications and Failure Modes of Polymer-Jacketed Guidewires; Insights From the MAUDE Database.,"Dec, 2021"
34889828,Adverse Events Associated With Ossicular Prostheses: Utility of a Federal Database.,"Dec, 2021"
34866049,Adverse Events With Intravascular Lithotripsy After Peripheral and Off-Label Coronary Use: A Report From the FDA MAUDE Database.,"Dec, 2021"
34862784,[Risk Analysis for Bakri Postpartum Balloon in Clinic].,"Dec, 2021"
34750704,Adverse events associated with transoral incisionless fundoplication (TIF) for chronic gastroesophageal reflux disease: a MAUDE database analysis.,"Nov, 2021"
34784851,Experience of the moray micro forceps biopsy for pancreatic cystic lesions: lessons and insights from the MAUDE database.,"Nov, 2021"
34750929,Adverse events related to AtriCure EPi-Sense Coagulation Device-Analysis of the FDA MAUDE database.,"Nov, 2021"
34842892,Renewing the Call for Reforms to Medical Device Safety-The Case of Penumbra.,"Nov, 2021"
34706845,Complications of Penumbra Indigo Aspiration Device in Pulmonary Embolism: Insights From MAUDE Database.,"Oct, 2021"
34699910,Adverse events with HeartMate-3 Left ventricular assist device: Results from the Manufacturer and User Facility Device Experience (MAUDE) database.,"Oct, 2021"
34678524,Postapproval safety profile of Watchman FLX left atrial appendage occlusion device: Analysis from the MAUDE database.,"Oct, 2021"
34651509,"Analysis of ""Multicenter Evaluation Study Comparing a New Factory-Calibrated Real-Time Continuous Glucose Monitoring System to Existing Flash Glucose Monitoring System"".","Oct, 2021"
34632803,Manufacturers Need to Assess Rather Than Ignore User Complaints About Their Diabetes Devices.,"Oct, 2021"
34610901,Adverse Events Following Transcatheter Edge-to-Edge Repair (TEER) Using MitraClip: Lessons Learned From the Manufacturer and User Facility Device Experience (MAUDE) Registry.,"Oct, 2021"
34600853,Procedural Complications Involving the Laser Balloon: Insight From the FDA's MAUDE Database.,"Oct, 2021"
34480524,Contemporary post-marketing adverse events and modes of failure related to VASCADE Vascular Closure System: The utility of the MAUDE database.,"Sep, 2021"
34513401,Characterizing Adverse Events of Cranioplasty Implants After Craniectomy: A Retrospective Review of the Federal Manufacturer and User Facility Device Experience Database.,"Sep, 2021"
34510115,A Review of Reported Adverse Events in MRI-Safe and MRI-Conditional Cochlear Implants.,"Sep, 2021"
34508038,Ultrasonic Device Complications in Endodontics: An Analysis of Adverse Events From the Food and Drug Administration Manufacturer and User Facility Device Experience.,"Sep, 2021"
34547903,Complications Associated With Nasopharyngeal COVID-19 Testing: An Analysis of the MAUDE Database and Literature Review.,"Sep, 2021"
34478867,A cross-sectional analysis of 284 complications for lumbar disc replacements from medical device reports maintained by the United States Food and Drug Administration.,"Sep, 2021"
34464761,Malfunction Events in the US FDA MAUDE Database: How Does Robotic Gynecologic Surgery Compare with Other Specialties?,"Sep, 2021"
34422501,Correction: Characterizing Complications of Deep Brain Stimulation Devices for the Treatment of Parkinsonian Symptoms Without Tremor: A Federal MAUDE Database Analysis.,"Aug, 2021"
34367506,Modes of failure with fractional flow reserve guidewires: Insights from the manufacturer and user facility device experience database.,"Aug, 2021"
34346023,Bent or broken: analysis of set screw fracture in the TFNa implant.,"Aug, 2021"
34342518,Complications Associated with PROPEL Mometasone Furoate Bioabsorbable Drug-eluting Sinus Stents From 2012 to 2020.,"Aug, 2021"
34325465,Adverse Events Associated With Electromyogram Endotracheal Tubes in Thyroid and Parathyroid Surgery.,"Jul, 2021"
34321409,Adverse events associated with femtosecond laser-assisted cataract surgery reported to the MAUDE database.,"Jul, 2021"
34315676,Complications and Failure Modes of the Penumbra Indigo CAT RX Aspiration System in Percutaneous Coronary Intervention: Insights From the MAUDE Database.,"Jul, 2021"
34314240,"Aquablation, Prostatic Urethral Lift, and Transurethral Water Vapor Therapy: A Comparison of Device-Related Adverse Events in a National Registry.","Jul, 2021"
34309680,"What Is Being Reported About Vaginal ""Lasers""?: An Examination of Adverse Events Reported to the Food and Drug Administration on Energy-Based Devices.","Jul, 2021"
34309624,Reporting of Death in US Food and Drug Administration Medical Device Adverse Event Reports in Categories Other Than Death.,"Jul, 2021"
34277165,Characterizing Complications of Deep Brain Stimulation Devices for the Treatment of Parkinsonian Symptoms Without Tremor: A Federal MAUDE Database Analysis.,"Jul, 2021"
